,departamento,cod_dpto,municipio,cod_mpio,dimension,sub_dimension,category,place_type,main_keywords,keyword,place_id,name,types,latitude,longitude,address,average_rating,user_ratings_total,place_link,phone,website,opening_hours,review_1_rating,review_1_text,review_2_rating,review_2_text,review_3_rating,review_3_text,review_4_rating,review_4_text,review_5_rating,review_5_text,city
10,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJX-pNNdPlL44RrvhzZA9xiK8,Restaurante Rancho Grande,"establishment,food,point_of_interest,restaurant",2.2795794,-76.726502,"Timbío-Rosas, Rosas",4.1,95.0,https://maps.google.com/?cid=12648483864393808046,,,Monday: 6:00 AM – 10:00 PM|Tuesday: 6:00 AM – 10:00 PM|Wednesday: 6:00 AM – 10:00 PM|Thursday: 6:00 AM – 10:00 PM|Friday: 6:00 AM – 10:00 PM|Saturday: 6:00 AM – 10:00 PM|Sunday: 6:00 AM – 10:00 PM,5.0,Excellent place to stop for a meal while traveling,5.0,"This place was my go-to stop every time I took my adventure trips between Bogotá or Cali and Pasto. Many times, I received excellent service.",4.0,"Good place to make a stop on the way, they serve good portions of food, with a quite pleasant structure perfect for resting in the middle of a long trip, it also has a good relationship between the quality of the food and the price.",4.0,Good place for lunch and different plants,5.0,"Nice and pleasant restaurant, the food is freshly prepared and not like the ""buffet"" of other restaurants which is reheated food, I recommend it, nice place with fresh food and good service.",Timbío-Rosas
11,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJK00xEwbjL44RNIbF7Hc_LFY,Restaurante Campestre Tío Micho,"establishment,food,point_of_interest,restaurant",2.3474144,-76.6827394,Timbío,4.2,57.0,https://maps.google.com/?cid=6209407770543097396,313 7687099,,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 9:00 AM – 12:00 AM|Saturday: 9:00 AM – 12:00 AM|Sunday: 9:00 AM – 12:00 AM,5.0,Super,4.0,"A very pleasant place, far from the hustle and bustle of the city, quiet, ideal for relaxing.",5.0,Good place to go with family! Rich seasoning and big fish!,5.0,"Excellent place, delicious food 😋 🤤
Very warm attention. Super recommended 👌 👍🏼 😉",2.0,"Beautiful place where you can enjoy a day with your family. Unfortunately the restaurant service leaves a lot to be desired, 1 hour and a half to serve a sancocho, with absurd and contradictory excuses. Half an hour more between the sancocho and the main course, two hours in total. Dishes of dried meat and cold rice. The price indicated at the time of the order is different than the price at the time of making the account, increasing it 10% more than it was initially, again, the excuse was absurd.",
12,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJM77id2odMI4RvzV6BKill2o,Fonda Y Pesebreras La Prodigiosa Parrilla Llanera,"establishment,food,point_of_interest,restaurant",2.401046,-76.64578999999999,"Popayan - Rosas, Sotará",4.3,108.0,https://maps.google.com/?cid=7680789830551877055,,,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: 9:00 AM – 5:00 PM|Saturday: 9:00 AM – 11:30 PM|Sunday: 8:00 AM – 10:00 PM,5.0,"A great rural spot for a family weekend on the road from Popayan to Timbío.

The food is delicious and they serve a generous amount.
Even when it's busy, they don't take long to serve, and the staff is very friendly.

They have parking and a pool if you want to linger.

I recommend the elbow, the Cuban casserole, and the pork belly.
The passion fruit lemonade is delicious too 👏👏👏",5.0,"The food is very delicious, especially all the dishes with pork, the tilapia is very delicious and the chop is enough for up to two people. The desserts are delicious, this is a perfect place to go with the family on the weekend.",1.0,"A place with a country atmosphere but an immense mess to serve, lack of respect for the customer, they skip the orders that come first, the stirrup before much better, but they have not improved tables, some small umbrellas for tables, an uneducated administrator ... in short, it is not worth it",1.0,"It was a good place with the previous management, but with the change the service was the worst I could have had, my family and I waited 2 hours to end up being told that one of the dishes we ordered was out after having waited those two hours, they have no order for the tables, and for a soup and napkins we waited 1 hour.",4.0,Good place for lunch on the road. The service was fast and friendly. Recommended is the dish called Bacon.,Popayan - Rosas
13,CAUCA,19,LA SIERRA,19392,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJYw5g6uPDL44RKiPAt7ZMLaU,Restautante El Camionero Rica Comida,"establishment,food,point_of_interest,restaurant",2.1695776,-76.9020455,Patia,4.4,48.0,https://maps.google.com/?cid=11902253737860670250,311 3141344,,Monday: 7:00 AM – 9:00 PM|Tuesday: 7:00 AM – 9:00 PM|Wednesday: 8:00 AM – 9:00 PM|Thursday: 8:00 AM – 9:00 PM|Friday: 8:00 AM – 9:00 PM|Saturday: 8:00 AM – 9:00 PM|Sunday: 8:00 AM – 9:00 PM,4.0,"The food here is delicious, well-seasoned, and reasonably priced. It's a very well-maintained place.",5.0,Excellent seasoning,5.0,"Despite being run by young people, the food and accommodation are good and the price is excellent.",5.0,"Exquisite food, super recommended, finger-licking dishes.",4.0,"Good food, good service, ideal place and food for travelers and truckers at a good price.",
14,CAUCA,19,ROSAS,19622,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJd68leD7mL44R5ib6I2c3mS8,Restaurante Y Parador Colombia,"establishment,food,point_of_interest,restaurant",2.2557985,-76.7589325,Rosas,3.6,2370.0,https://maps.google.com/?cid=3429833507344099046,,,Monday: 6:00 AM – 11:00 PM|Tuesday: 6:00 AM – 11:00 PM|Wednesday: 6:00 AM – 11:00 PM|Thursday: 6:00 AM – 11:00 PM|Friday: 6:00 AM – 11:00 PM|Saturday: 6:00 AM – 11:00 PM|Sunday: 6:00 AM – 11:00 PM,4.0,"It’s a cool
Fun place the environment is clean my only issue with their food is the salt in the fish I ordered and their services are so nice",3.0,"It's the only option if you took a bus through this area . But the service isn't too friendly and the food is pretty basic.

Good juice though and it's good to get something to eat on these long trips through Colombia.",4.0,"The place is fine, the food is cheap. They only accept cash. Some more cleaning would be nice.",1.0,"Too expensive, not fresh food, bad customer service",3.0,"It's a little bit expensive, a bottle of water 2.500 pesos, 600ml ☹️",
15,CAUCA,19,ROSAS,19622,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJ_TZcKoDoL44RtOmPjrbUS7k,Parador Restaurante Gualanday,"establishment,food,point_of_interest,restaurant",2.2404706,-76.77857209999999,Rosas,3.6,618.0,https://maps.google.com/?cid=13351999400810899892,,,Monday: 6:00 AM – 10:00 PM|Tuesday: 6:00 AM – 10:00 PM|Wednesday: 6:00 AM – 10:00 PM|Thursday: 6:00 AM – 10:00 PM|Friday: 6:00 AM – 10:00 PM|Saturday: 6:00 AM – 10:00 PM|Sunday: 6:00 AM – 10:00 PM,4.0,The people here are probably some of the nicest you'll meet. It's where most bus rides passing through this area always stop for dinner or breakfast. The food is great.,5.0,Super,1.0,"Terrible service from the waiters and administration, tasteless food and tasteless service. Please don't stop at that place if you don't want a bad experience. There I leave the photo so you can go by and NOT STOP.",4.0,"Very good, excellent food and service",5.0,"Highly recommended for the excellent service and delicious food, plus there is a wide variety of dishes.",
16,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJowOnXgDjL44RjhY8sbThTl8,"La Pergola "" Casa Vieja""","cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store",2.3486163,-76.6846312,"casa vieja, carrera 18 # 12-425 barrio boyaca, fundacion casa valdocco",5.0,10.0,https://maps.google.com/?cid=6867674647970453134,313 6489540,,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: Closed|Saturday: 4:00 – 11:00 PM|Sunday: 5:00 – 10:00 PM,5.0,"It is a place where a pleasant atmosphere, delicious food and excellent service combine for a very special experience.",5.0,Highly recommended. A very nice and cozy place! 🫶🏻,5.0,A special place for unforgettable moments,5.0,"Excellent place, magical, delicious food 🌟",5.0,"Lindo lugar, linda experiencia",carrera 18 # 12-425 barrio boyaca
17,CAUCA,19,ROSAS,19622,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJnXWYR4HoL44ReWzn70M1tr4,Restaurante Esmeralda Mirador,"establishment,food,point_of_interest,restaurant",2.2375704,-76.77478649999999,Rosas,3.7,196.0,https://maps.google.com/?cid=13742229878871649401,,,Monday: 6:00 AM – 10:00 PM|Tuesday: 6:00 AM – 10:00 PM|Wednesday: 6:00 AM – 10:00 PM|Thursday: 6:00 AM – 10:00 PM|Friday: 6:00 AM – 10:00 PM|Saturday: 6:00 AM – 10:00 PM|Sunday: 6:00 AM – 10:00 PM,1.0,"They take too long to get your order, seen other customers getting their food before me. Avoid this place.",4.0,Nice food,4.0,Nice place,2.0,"The place has a view that is perfect for a complete photo shoot since it has a large and harmonious green area with different textures and mountains, however I cannot say the same about the restaurant service since while eating there a diner got a spoonful in his soup, in addition to other people who were there, they were told a price per plate and in the end the bill was higher than the initial amount, terrible service.",5.0,"A lovely place to rest for a while and have a hearty breakfast. We stopped by on my way to Chile. Although some bridges are being repaired and there are busy stretches, it's worth the trip. ✈️",
18,CAUCA,19,LA SIERRA,19392,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJT_2ov0HoL44Rp2pyJfX2Emo,Parador Y Restaurante La Maria,"establishment,food,point_of_interest,restaurant",2.2214268,-76.7987915,"Párraga-Piedra Sentada, Rosas",3.8,223.0,https://maps.google.com/?cid=7643443050356828839,313 5096472,,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,5.0,Good food. 24/7,5.0,Excellent food,5.0,"Very tasty food, good location, excellent service and affordable prices",1.0,"A fucking Gatorade for 8k? And such a simple breakfast for 15k??? Stop messing around. And to top it all off, a fucking Gatorade takes a while to make a casserole. Terrible, terrible service.",5.0,"I really liked the view from the place. The attention was a little delayed, and the orders longer.",Párraga-Piedra Sentada
19,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJvUR-x1_jL44RuoKNlAUeoA4,Restaurante La Brasa,"establishment,food,point_of_interest,restaurant",2.3465683,-76.68837839999999,"25, Timbío",4.3,32.0,https://maps.google.com/?cid=1053875322120667834,314 6696071,,,5.0,"Rich, recommended, 20 to 25 thousand, simple tray and lemonade,",5.0,"It's a place where the owner cares about biosecurity and cleanliness. The seasoning is delicious, the amount of food served is perfect, and the service and attention are fabulous. I really liked the place, despite its simple appearance; the owner makes it very welcoming.",5.0,"Excellent place for lunch on the Pan-American Highway. Very good service and especially the lunch, delicious and sufficiently seasoned. Recommended, moderately wheelchair-friendly.",3.0,"Hey, well, it seemed really cool to me and a great place to go when I go for a walk.",4.0,Too bad it's only fried... but the food is very delicious... recommended to rest from the trip.,25
20,CAUCA,19,LA SIERRA,19392,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJm9yFPrbpL44R-0Hs5Uoehe0,Restaurante La Brasa,"establishment,food,point_of_interest,restaurant",2.1757853,-76.7651425,La Sierra,5.0,2.0,https://maps.google.com/?cid=17115119265925317115,322 6208694,,Monday: 6:30 AM – 10:30 PM|Tuesday: 6:30 AM – 10:30 PM|Wednesday: 6:30 AM – 10:30 PM|Thursday: 6:30 AM – 10:30 PM|Friday: 6:30 AM – 10:30 PM|Saturday: 6:30 AM – 10:30 PM|Sunday: 6:30 AM – 10:30 PM,5.0,"Very good service and very delicious food, highly recommended to go with family and a group of friends.",5.0,,,,,,,,
21,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJEwdDD7XjL44R8LdU5evhgJI,Asadero Restaurante Broaster Frit,"establishment,food,point_of_interest,restaurant",2.3535829,-76.6826009,"Cra. 17 #18-18, Timbío",4.2,21.0,https://maps.google.com/?cid=10556685929837541360,320 8181954,,Monday: 9:00 AM – 10:00 PM|Tuesday: 9:00 AM – 10:00 PM|Wednesday: 9:00 AM – 10:00 PM|Thursday: 9:00 AM – 10:00 PM|Friday: 9:00 AM – 10:00 PM|Saturday: 9:00 AM – 10:00 PM|Sunday: 9:00 AM – 10:00 PM,5.0,"⸻

An excellent chicken restaurant in Timbío.
The staff is very friendly and the service is impeccable.
The food is delicious and the atmosphere is very pleasant.
Highly recommended!
Thank you so much for the experience.",4.0,"It was delicious, the phone number is no longer active for this restaurant.",5.0,"Excellent service, very good products, and low food costs. They also offer a wide variety of foods to the public.",5.0,Delicious,5.0,The food was delicious,Cra. 17 #18-18
22,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJP1s6P5LiL44ROh5zlYQt1Us,Parador Canchitos,"establishment,food,point_of_interest,restaurant",2.37871,-76.67416999999999,Timbío,4.1,95.0,https://maps.google.com/?cid=5464323770350247482,,,Monday: 11:00 AM – 9:00 PM|Tuesday: 11:00 AM – 9:00 PM|Wednesday: 11:00 AM – 9:00 PM|Thursday: 11:00 AM – 9:00 PM|Friday: 11:00 AM – 9:00 PM|Saturday: 11:00 AM – 9:00 PM|Sunday: 11:00 AM – 9:00 PM,5.0,Super,3.0,normal,4.0,"It's a pleasant place with a varied menu, which is delicious. Perhaps the ribs could have been a little less salty, as some of us can't eat them that salty for health reasons. Otherwise, everything is delicious and the price/performance ratio is excellent. The most delicious thing is the spinach sancocho.",3.0,"Rich, its menu focuses on meats and smoky flavor. The atmosphere is very regular.",2.0,"The service is very average, the waitress is always distracted and can't take more than two orders at a time, the place isn't very pleasant to look at and as for the grilled meats, they definitely leave it very dry and sticky, it takes a long time for the orders to come out, the pork spine sancocho is very famous here and a lot of people go there for that reason, anyway I can't give a higher rating than this and it's your turn to give a sub-opinion.",
23,CAUCA,19,LA SIERRA,19392,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJPXyZLLTpL44RLsUOjeC-4Gk,Hotel Y Restaurante La Esmita,"establishment,food,point_of_interest,restaurant",2.2009641,-76.8160032,193577,4.7,25.0,https://maps.google.com/?cid=7629307640414127406,316 6084229,,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,3.0,"Ample parking, good bathrooms, very cool showers, safe, overall it holds up... to improve the girl's care...",5.0,"Delicious food, a meeting place for transporters, and very comfortable rooms with great facilities and prices. I only suggest a little attention to the sheets, as they were torn and dirty. It's very cold in the early morning, and there were no blankets.",5.0,"Very good food, excellent service and very good location for parking",5.0,"Excellent service, ample parking...good bathrooms, delicious food and low prices! 🤩",5.0,"Very good food and excellent service.

Highly recommended

My favorite waitress, Yuliana Jiménez, is super attentive.",
24,CAUCA,19,LA SIERRA,19392,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJM2EhsWnoL44RzEok0QBNU4U,Restaurante Colombia,"establishment,food,point_of_interest,restaurant",2.224,-76.79476,Rosas,4.0,52.0,https://maps.google.com/?cid=9607107096015555276,,,,4.0,Very clean ... Easy access but the wait staff is a little slow to understand... Consomé is good but make sure your waitress repeats your order if you want something specific,3.0,Friendly service and located on the east side of the Pan-American Highway in that area. Areas for improvement include offering more variety in basic dishes and better breakfast options with fewer fried foods.,5.0,Good inn and good service to complete the climb.,3.0,"It's a little expensive, the place looks good, little variety in the menu",3.0,"Delicious food but nothing special!!! The good thing is that they serve until late, I arrived at midnight and they served me, the pork tray $13,000",
25,CAUCA,19,ROSAS,19622,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJy4QJZvjnL44R8Xw7pVJgVZA,Restaurante La Casona,"establishment,food,point_of_interest,restaurant",2.261858,-76.7406139,Rosas,,,https://maps.google.com/?cid=10400324822557752561,,,Monday: 6:00 AM – 11:00 PM|Tuesday: 6:00 AM – 11:00 PM|Wednesday: 6:00 AM – 11:00 PM|Thursday: 6:00 AM – 11:00 PM|Friday: 6:00 AM – 11:00 PM|Saturday: 6:00 AM – 11:00 PM|Sunday: 6:00 AM – 11:00 PM,,,,,,,,,,,
26,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJvzyMDUXjL44Rtz5_ST-f7_o,Exquisitos Restaurante Bar,"establishment,food,point_of_interest,restaurant",2.3523289,-76.681934,"Cl. 17 #15-59, Timbío",5.0,2.0,https://maps.google.com/?cid=18081846123080662711,302 8554577,,Monday: 5:00 – 10:00 PM|Tuesday: 5:00 – 10:00 PM|Wednesday: 5:00 – 10:00 PM|Thursday: 5:00 – 10:00 PM|Friday: 5:00 – 11:00 PM|Saturday: 5:00 – 11:00 PM|Sunday: 5:00 – 11:00 PM,5.0,The service is excellent,5.0,Excellent...,,,,,,,Cl. 17 #15-59
27,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJ_fVZt-DjL44R4sysxiyi-K8,Gredha La Expresión Del Sabor,"establishment,food,point_of_interest,restaurant",2.350782,-76.6760123,"Cl. 17 #9-53, San Cayetano, Timbío",5.0,1.0,https://maps.google.com/?cid=12680063064057105634,311 5130358,,Monday: 6:00 – 10:30 PM|Tuesday: 6:00 – 10:30 PM|Wednesday: Closed|Thursday: 6:00 – 10:30 PM|Friday: 6:00 – 10:30 PM|Saturday: 6:00 – 11:00 PM|Sunday: 6:00 – 11:00 PM,5.0,,,,,,,,,,San Cayetano
28,CAUCA,19,LA SIERRA,19392,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJVXUQSUHCL44RpaUO4_r1UVs,Restaurante Parador Porkys,"establishment,food,point_of_interest,restaurant",2.1898078,-76.8563461,La Sierra,4.0,117.0,https://maps.google.com/?cid=6580310988465022373,,,Monday: 8:00 AM – 8:00 PM|Tuesday: 8:00 AM – 8:00 PM|Wednesday: 8:00 AM – 8:00 PM|Thursday: 8:00 AM – 8:00 PM|Friday: 8:00 AM – 8:00 PM|Saturday: 8:00 AM – 8:00 PM|Sunday: 8:00 AM – 8:00 PM,1.0,"Don't even think about stopping for breakfast at this shady restaurant. 40 minutes waiting for breakfast and it didn't arrive. Only the coffees arrived, which were a bit rundown and in disposable cups, those tiny red ones from funerals, and they have the nerve to charge 2000 pesos for that crap. Oh, and the worst part is, the manager is a complete son of a bitch... save yourselves the trouble and look somewhere else.",4.0,"Excellent restaurant, the meat is delicious and at a good price. The service is very good. I recommend it to make a stop when traveling along this road. Ideal for lovers of good meat. Ideal for the whole family as it offers a pleasant atmosphere.",4.0,"The place is a good place to eat. The food is also quite good, especially the pork menu. It would be good to have liquid waste control, as a stream runs nearby and sometimes emits quite unpleasant odors.",5.0,"Excellent menu, especially the pork, ribs, and chicharrones. I invite those who have not visited the restaurant to do so now; you won't regret it.",4.0,"Although service isn't their strong suit.
The food is very, very good and the location is pleasant, which makes for a very positive experience.",
29,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJWa88L6bjL44RQGB4949heo0,Restaurante Delicias De La Cocina,"establishment,food,point_of_interest,restaurant",2.3459528,-76.6909462,"25, Timbío",4.7,7.0,https://maps.google.com/?cid=10194567977466617920,,,,3.0,Very average,5.0,👍,5.0,,5.0,,5.0,,25
