,departamento,municipio,cod_mpio,category,place_type,name,types,latitude,longitude,address,place_link,city,rating,text_en,municipality_std,text_es,text_es_norm,tokens_es,sentiment_score,sentiment_label,doc_clean
10,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Viviendas turísticas,Casa Encanto Fernanda Artunduaga,"establishment,point_of_interest,tourist_attraction",2.3892656,-76.64593909999999,"99Q3+5Q, Sotará",https://maps.google.com/?cid=10236349902338550822,99Q3+5Q,5.0,,SOTARA,,,[],0,neutral,
11,CAUCA,LA SIERRA,19392,Alojamiento / Hospedajes,Fincas turísticas,Finca Buena Vista,"establishment,point_of_interest,tourist_attraction",2.1569598,-76.74532769999999,"5743+QV, La Sierra",https://maps.google.com/?cid=1890473988906844980,5743+QV,4.0,,LA SIERRA,,,[],0,neutral,
12,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Fincas turísticas,Finca Santo Domingo,"establishment,point_of_interest,tourist_attraction",2.40609,-76.691688,"C845+C8, Timbío",https://maps.google.com/?cid=14303478527432950778,C845+C8,5.0,"A place full of greenery, not only for family and friends but also for pets. PDT. Mrs. Mila's plants are beautiful ❤️",SOTARA,"Un lugar lleno de vegetación, no solo para familiares y amigos sino también para mascotas. Pdt. Las plantas de la Sra. Mila son hermosas ❤️",un lugar lleno de vegetacion no solo para familiares y amigos sino tambien para mascotas pdt las plantas de la sra mila son hermosas,"['lugar', 'lleno', 'vegetacion', 'solo', 'familiares', 'amigos', 'sino', 'tambien', 'mascotas', 'pdt', 'plantas', 'sra', 'mila', 'hermosas']",0,neutral,lleno vegetacion solo familiares amigos sino tambien mascotas pdt plantas sra mila hermosas
13,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Fincas turísticas,Finca Santo Domingo,"establishment,point_of_interest,tourist_attraction",2.40609,-76.691688,"C845+C8, Timbío",https://maps.google.com/?cid=14303478527432950778,C845+C8,5.0,"The weekend as a family we spent a sunny and very fun afternoon, in this magical place, what captivated us most was the spectacular sunset that we experienced, highly recommended",SOTARA,"El fin de semana como familia pasamos una tarde soleada y muy divertida, en este lugar mágico, lo que más nos cautivó fue la espectacular atardecer que experimentamos, muy recomendable.",el fin de semana como familia pasamos una tarde soleada y muy divertida en este lugar magico lo que mas nos cautivo fue la espectacular atardecer que experimentamos muy recomendable,"['fin', 'semana', 'familia', 'pasamos', 'tarde', 'soleada', 'divertida', 'lugar', 'magico', 'cautivo', 'espectacular', 'atardecer', 'experimentamos', 'recomendable']",2,positive,fin semana familia pasamos tarde soleada divertida magico cautivo espectacular atardecer experimentamos recomendable
14,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Fincas turísticas,Finca Santo Domingo,"establishment,point_of_interest,tourist_attraction",2.40609,-76.691688,"C845+C8, Timbío",https://maps.google.com/?cid=14303478527432950778,C845+C8,5.0,I was surprised by the diverse variety of flora on the site.,SOTARA,Me sorprendió la diversa variedad de flora en el sitio.,me sorprendio la diversa variedad de flora en el sitio,"['sorprendio', 'diversa', 'variedad', 'flora', 'sitio']",0,neutral,sorprendio diversa variedad flora
15,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Fincas turísticas,Finca Santo Domingo,"establishment,point_of_interest,tourist_attraction",2.40609,-76.691688,"C845+C8, Timbío",https://maps.google.com/?cid=14303478527432950778,C845+C8,5.0,It is a very quiet place with very beautiful plants. ^^,SOTARA,Es un lugar muy tranquilo con plantas muy hermosas. ^^,es un lugar muy tranquilo con plantas muy hermosas,"['lugar', 'tranquilo', 'plantas', 'hermosas']",1,positive,tranquilo plantas hermosas
16,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Fincas turísticas,Finca Santo Domingo,"establishment,point_of_interest,tourist_attraction",2.40609,-76.691688,"C845+C8, Timbío",https://maps.google.com/?cid=14303478527432950778,C845+C8,5.0,,SOTARA,,,[],0,neutral,
17,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Fincas turísticas,Finca Aguacates Diana,"establishment,point_of_interest,tourist_attraction",2.3711463,-76.5974998,"9CC3+G4, Sotará",https://maps.google.com/?cid=2897508520387874339,9CC3+G4,5.0,Lugar próspero para la siembra de aguacate,SOTARA,Lugar próspero para la siembra de aguacate,lugar prospero para la siembra de aguacate,"['lugar', 'prospero', 'siembra', 'aguacate']",0,neutral,prospero siembra aguacate
18,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Fincas turísticas,"Estadero Y Finca ""La Diosa""","establishment,point_of_interest,tourist_attraction",2.3750259,-76.59928339999999,"9CG2+27, Sotará",https://maps.google.com/?cid=3867152365355762571,9CG2+27,5.0,It is a very nice place to be with family!!!,SOTARA,¡Es un lugar muy agradable para estar con la familia!,es un lugar muy agradable para estar con la familia,"['lugar', 'agradable', 'familia']",0,neutral,agradable familia
19,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Fincas turísticas,"Estadero Y Finca ""La Diosa""","establishment,point_of_interest,tourist_attraction",2.3750259,-76.59928339999999,"9CG2+27, Sotará",https://maps.google.com/?cid=3867152365355762571,9CG2+27,3.0,,SOTARA,,,[],0,neutral,
20,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante El Dorado,"establishment,food,point_of_interest,restaurant",2.199063,-76.81689899999999,La Sierra,https://maps.google.com/?cid=15914924662693965220,,4.0,Yummy food,LA SIERRA,Comida deliciosa,comida deliciosa,"['comida', 'deliciosa']",1,positive,comida deliciosa
21,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante El Dorado,"establishment,food,point_of_interest,restaurant",2.199063,-76.81689899999999,La Sierra,https://maps.google.com/?cid=15914924662693965220,,4.0,"One of the restaurants serving the most delicious fried and sweated smoked tilapia on the road to the south. The size is worth the very affordable price. The only negative I found was the amount of salt, which was not my taste. Otherwise, it's very delicious.",LA SIERRA,"Uno de los restaurantes que sirve a la tilapia ahumada más deliciosa y sudada en el camino hacia el sur. El tamaño vale el precio muy asequible. Lo único negativo que encontré fue la cantidad de sal, que no era mi gusto. De lo contrario, es muy delicioso.",uno de los restaurantes que sirve a la tilapia ahumada mas deliciosa y sudada en el camino hacia el sur el tamano vale el precio muy asequible lo unico negativo que encontre fue la cantidad de sal que no era mi gusto de lo contrario es muy delicioso,"['restaurantes', 'sirve', 'tilapia', 'ahumada', 'deliciosa', 'sudada', 'camino', 'hacia', 'sur', 'tamano', 'vale', 'precio', 'asequible', 'unico', 'negativo', 'encontre', 'cantidad', 'sal', 'gusto', 'contrario', 'delicioso']",2,positive,restaurantes sirve tilapia ahumada deliciosa sudada camino hacia sur tamano vale precio asequible unico negativo encontre cantidad sal gusto contrario delicioso
22,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante El Dorado,"establishment,food,point_of_interest,restaurant",2.199063,-76.81689899999999,La Sierra,https://maps.google.com/?cid=15914924662693965220,,4.0,"The tilapia is very delicious, both fruit and sweaty, they no longer have a salad but it is classic when you pass by in Cauca",LA SIERRA,"La tilapia es muy deliciosa, tanto fruta como sudorosa, ya no tienen una ensalada, pero es clásica cuando pasas en Cauca",la tilapia es muy deliciosa tanto fruta como sudorosa ya no tienen una ensalada pero es clasica cuando pasas en cauca,"['tilapia', 'deliciosa', 'tanto', 'fruta', 'sudorosa', 'ensalada', 'clasica', 'pasas']",1,positive,tilapia deliciosa tanto fruta sudorosa ensalada clasica pasas
23,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante El Dorado,"establishment,food,point_of_interest,restaurant",2.199063,-76.81689899999999,La Sierra,https://maps.google.com/?cid=15914924662693965220,,4.0,A restaurant with ample parking. Their specialty is fried tilapia. Payment in cash.,LA SIERRA,Un restaurante con amplio estacionamiento. Su especialidad es la tilapia frita. Pago en metálico.,un restaurante con amplio estacionamiento su especialidad es la tilapia frita pago en metalico,"['restaurante', 'amplio', 'estacionamiento', 'especialidad', 'tilapia', 'frita', 'pago', 'metalico']",0,neutral,restaurante amplio estacionamiento especialidad tilapia frita pago metalico
24,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante El Dorado,"establishment,food,point_of_interest,restaurant",2.199063,-76.81689899999999,La Sierra,https://maps.google.com/?cid=15914924662693965220,,4.0,"I thought it was a good experience, with a nice view and 16,000 yuan for the dishes. Everything was very fresh. The service took a while, but it was worth it.",LA SIERRA,"Pensé que era una buena experiencia, con una bonita vista y 16,000 yuanes para los platos. Todo estaba muy fresco. El servicio tomó un tiempo, pero valió la pena.",pense que era una buena experiencia con una bonita vista y 16 000 yuanes para los platos todo estaba muy fresco el servicio tomo un tiempo pero valio la pena,"['pense', 'buena', 'experiencia', 'bonita', 'vista', '000', 'yuanes', 'platos', 'todo', 'fresco', 'servicio', 'tomo', 'tiempo', 'valio', 'pena']",1,positive,pense buena experiencia bonita vista yuanes platos todo fresco servicio tomo tiempo valio pena
25,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante Parador Porkýs #1,"establishment,food,point_of_interest,restaurant",2.1892477,-76.8479591,"Párraga-Piedra Sentada, La Sierra",https://maps.google.com/?cid=7256298023562411236,Párraga-Piedra Sentada,1.0,"If you can find other choice, you will not regret.",LA SIERRA,"Si puede encontrar otra opción, no se arrepentirá.",si puede encontrar otra opcion no se arrepentira,"['puede', 'encontrar', 'opcion', 'arrepentira']",0,neutral,puede encontrar opcion arrepentira
26,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante Parador Porkýs #1,"establishment,food,point_of_interest,restaurant",2.1892477,-76.8479591,"Párraga-Piedra Sentada, La Sierra",https://maps.google.com/?cid=7256298023562411236,Párraga-Piedra Sentada,5.0,Super,LA SIERRA,Súper,super,['super'],0,neutral,super
27,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante Parador Porkýs #1,"establishment,food,point_of_interest,restaurant",2.1892477,-76.8479591,"Párraga-Piedra Sentada, La Sierra",https://maps.google.com/?cid=7256298023562411236,Párraga-Piedra Sentada,5.0,"It's a nice place to take a break and get something to eat. There's a variety of food and snacks, but their specialty is meat. The service is good, although it could be better. The prices are fair, but if you don't want to be surprised, I suggest getting a quote first.

Highly recommended. I would definitely eat at this inn again.",LA SIERRA,"Es un buen lugar para tomar un descanso y conseguir algo de comer. Hay una variedad de alimentos y bocadillos, pero su especialidad es la carne. El servicio es bueno, aunque podría ser mejor. Los precios son justos, pero si no quieres sorprenderte, sugiero obtener una cotización primero.

Muy recomendable. Definitivamente volvería a comer en esta posada.",es un buen lugar para tomar un descanso y conseguir algo de comer hay una variedad de alimentos y bocadillos pero su especialidad es la carne el servicio es bueno aunque podria ser mejor los precios son justos pero si no quieres sorprenderte sugiero obtener una cotizacion primero muy recomendable definitivamente volveria a comer en esta posada,"['buen', 'lugar', 'tomar', 'descanso', 'conseguir', 'comer', 'variedad', 'alimentos', 'bocadillos', 'especialidad', 'carne', 'servicio', 'bueno', 'aunque', 'podria', 'mejor', 'precios', 'justos', 'quieres', 'sorprenderte', 'sugiero', 'obtener', 'cotizacion', 'primero', 'recomendable', 'definitivamente', 'volveria', 'comer', 'posada']",1,positive,buen tomar descanso conseguir comer variedad alimentos bocadillos especialidad carne servicio bueno podria mejor precios justos quieres sorprenderte sugiero obtener cotizacion primero recomendable definitivamente volveria comer posada
28,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante Parador Porkýs #1,"establishment,food,point_of_interest,restaurant",2.1892477,-76.8479591,"Párraga-Piedra Sentada, La Sierra",https://maps.google.com/?cid=7256298023562411236,Párraga-Piedra Sentada,2.0,"The food is delicious, but the service is terrible. The waitresses and cook are grumpy, unwilling to serve, and even rude. This makes me want to stop there.",LA SIERRA,"La comida es deliciosa, pero el servicio es terrible. Las camareras y el cocinero son gruñones, no están dispuestos a servir e incluso groseros. Esto me da ganas de parar allí.",la comida es deliciosa pero el servicio es terrible las camareras y el cocinero son grunones no estan dispuestos a servir e incluso groseros esto me da ganas de parar alli,"['comida', 'deliciosa', 'servicio', 'terrible', 'camareras', 'cocinero', 'grunones', 'estan', 'dispuestos', 'servir', 'incluso', 'groseros', 'ganas', 'parar']",0,neutral,comida deliciosa servicio terrible camareras cocinero grunones dispuestos servir incluso groseros ganas parar
29,CAUCA,LA SIERRA,19392,Restaurantes,Restaurantes,Restaurante Parador Porkýs #1,"establishment,food,point_of_interest,restaurant",2.1892477,-76.8479591,"Párraga-Piedra Sentada, La Sierra",https://maps.google.com/?cid=7256298023562411236,Párraga-Piedra Sentada,5.0,"Delicious food, very good service, highly recommended",LA SIERRA,"Comida deliciosa, muy buen servicio, muy recomendable",comida deliciosa muy buen servicio muy recomendable,"['comida', 'deliciosa', 'buen', 'servicio', 'recomendable']",2,positive,comida deliciosa buen servicio recomendable
30,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Rancho Grande,"establishment,food,point_of_interest,restaurant",2.2795794,-76.726502,"Timbío-Rosas, Rosas",https://maps.google.com/?cid=12648483864393808046,Timbío-Rosas,5.0,Excellent place to stop for a meal while traveling,SOTARA,Excelente lugar para parar para una comida mientras viaja,excelente lugar para parar para una comida mientras viaja,"['excelente', 'lugar', 'parar', 'comida', 'mientras', 'viaja']",1,positive,excelente parar comida viaja
31,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Rancho Grande,"establishment,food,point_of_interest,restaurant",2.2795794,-76.726502,"Timbío-Rosas, Rosas",https://maps.google.com/?cid=12648483864393808046,Timbío-Rosas,5.0,"This place was my go-to stop every time I took my adventure trips between Bogotá or Cali and Pasto. Many times, I received excellent service.",SOTARA,Este lugar era mi parada en cada vez que realizaba mis viajes de aventura entre Bogotá o Cali y Pasto. Muchas veces recibí un excelente servicio.,este lugar era mi parada en cada vez que realizaba mis viajes de aventura entre bogota o cali y pasto muchas veces recibi un excelente servicio,"['lugar', 'parada', 'cada', 'vez', 'realizaba', 'viajes', 'aventura', 'bogota', 'cali', 'pasto', 'muchas', 'veces', 'recibi', 'excelente', 'servicio']",0,neutral,parada vez realizaba viajes aventura bogota cali pasto muchas veces recibi excelente servicio
32,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Rancho Grande,"establishment,food,point_of_interest,restaurant",2.2795794,-76.726502,"Timbío-Rosas, Rosas",https://maps.google.com/?cid=12648483864393808046,Timbío-Rosas,4.0,"Good place to make a stop on the way, they serve good portions of food, with a quite pleasant structure perfect for resting in the middle of a long trip, it also has a good relationship between the quality of the food and the price.",SOTARA,"Buen lugar para detenerse en el camino, sirven buenas porciones de comida, con una estructura bastante agradable perfecta para descansar en medio de un largo viaje, también tiene una buena relación entre la calidad de la comida y el precio.",buen lugar para detenerse en el camino sirven buenas porciones de comida con una estructura bastante agradable perfecta para descansar en medio de un largo viaje tambien tiene una buena relacion entre la calidad de la comida y el precio,"['buen', 'lugar', 'detenerse', 'camino', 'sirven', 'buenas', 'porciones', 'comida', 'estructura', 'bastante', 'agradable', 'perfecta', 'descansar', 'medio', 'largo', 'viaje', 'tambien', 'buena', 'relacion', 'calidad', 'comida', 'precio']",2,positive,buen detenerse camino sirven buenas porciones comida estructura bastante agradable perfecta descansar medio largo viaje tambien buena relacion calidad comida precio
33,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Rancho Grande,"establishment,food,point_of_interest,restaurant",2.2795794,-76.726502,"Timbío-Rosas, Rosas",https://maps.google.com/?cid=12648483864393808046,Timbío-Rosas,4.0,Good place for lunch and different plants,SOTARA,Buen lugar para el almuerzo y diferentes plantas,buen lugar para el almuerzo y diferentes plantas,"['buen', 'lugar', 'almuerzo', 'diferentes', 'plantas']",1,positive,buen almuerzo diferentes plantas
34,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Rancho Grande,"establishment,food,point_of_interest,restaurant",2.2795794,-76.726502,"Timbío-Rosas, Rosas",https://maps.google.com/?cid=12648483864393808046,Timbío-Rosas,5.0,"Nice and pleasant restaurant, the food is freshly prepared and not like the ""buffet"" of other restaurants which is reheated food, I recommend it, nice place with fresh food and good service.",SOTARA,"Un restaurante agradable y agradable, la comida está recién preparada y no como el ""buffet"" de otros restaurantes que es comida recalentada, la recomiendo, un lugar agradable con comida fresca y buen servicio.",un restaurante agradable y agradable la comida esta recien preparada y no como el buffet de otros restaurantes que es comida recalentada la recomiendo un lugar agradable con comida fresca y buen servicio,"['restaurante', 'agradable', 'agradable', 'comida', 'recien', 'preparada', 'buffet', 'restaurantes', 'comida', 'recalentada', 'recomiendo', 'lugar', 'agradable', 'comida', 'fresca', 'buen', 'servicio']",1,positive,restaurante agradable agradable comida recien preparada buffet restaurantes comida recalentada recomiendo agradable comida fresca buen servicio
35,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Campestre Tío Micho,"establishment,food,point_of_interest,restaurant",2.3474144,-76.6827394,Timbío,https://maps.google.com/?cid=6209407770543097396,,5.0,Super,SOTARA,Súper,super,['super'],0,neutral,super
36,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Campestre Tío Micho,"establishment,food,point_of_interest,restaurant",2.3474144,-76.6827394,Timbío,https://maps.google.com/?cid=6209407770543097396,,4.0,"A very pleasant place, far from the hustle and bustle of the city, quiet, ideal for relaxing.",SOTARA,"Un lugar muy agradable, lejos del ajetreo y el bullicio de la ciudad, tranquilo, ideal para relajarse.",un lugar muy agradable lejos del ajetreo y el bullicio de la ciudad tranquilo ideal para relajarse,"['lugar', 'agradable', 'lejos', 'ajetreo', 'bullicio', 'ciudad', 'tranquilo', 'ideal', 'relajarse']",1,positive,agradable lejos ajetreo bullicio ciudad tranquilo ideal relajarse
37,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Campestre Tío Micho,"establishment,food,point_of_interest,restaurant",2.3474144,-76.6827394,Timbío,https://maps.google.com/?cid=6209407770543097396,,5.0,Good place to go with family! Rich seasoning and big fish!,SOTARA,¡Buen lugar para ir con la familia! ¡Cazón rico y pescado grande!,buen lugar para ir con la familia cazon rico y pescado grande,"['buen', 'lugar', 'familia', 'cazon', 'rico', 'pescado', 'grande']",1,positive,buen familia cazon rico pescado grande
38,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Campestre Tío Micho,"establishment,food,point_of_interest,restaurant",2.3474144,-76.6827394,Timbío,https://maps.google.com/?cid=6209407770543097396,,5.0,"Excellent place, delicious food 😋 🤤
Very warm attention. Super recommended 👌 👍🏼 😉",SOTARA,"Excelente lugar, deliciosa comida 😋 🤤
Muy cálida atención. Super recomendado 👌 👍🏼 😉",excelente lugar deliciosa comida muy calida atencion super recomendado,"['excelente', 'lugar', 'deliciosa', 'comida', 'calida', 'atencion', 'super', 'recomendado']",2,positive,excelente deliciosa comida calida atencion super recomendado
39,CAUCA,SOTARA,19760,Restaurantes,Restaurantes,Restaurante Campestre Tío Micho,"establishment,food,point_of_interest,restaurant",2.3474144,-76.6827394,Timbío,https://maps.google.com/?cid=6209407770543097396,,2.0,"Beautiful place where you can enjoy a day with your family. Unfortunately the restaurant service leaves a lot to be desired, 1 hour and a half to serve a sancocho, with absurd and contradictory excuses. Half an hour more between the sancocho and the main course, two hours in total. Dishes of dried meat and cold rice. The price indicated at the time of the order is different than the price at the time of making the account, increasing it 10% more than it was initially, again, the excuse was absurd.",SOTARA,"Hermoso lugar donde puedes disfrutar de un día con tu familia. Desafortunadamente, el servicio de restaurantes deja mucho que desear, 1 hora y media para servir un sancocho, con excusas absurdas y contradictorias. Media hora más entre Sancocho y el plato principal, dos horas en total. Platos de carne seca y arroz frío. El precio indicado en el momento del pedido es diferente al precio al momento de hacer la cuenta, aumentándolo un 10% más de lo que inicialmente, nuevamente, la excusa era absurda.",hermoso lugar donde puedes disfrutar de un dia con tu familia desafortunadamente el servicio de restaurantes deja mucho que desear 1 hora y media para servir un sancocho con excusas absurdas y contradictorias media hora mas entre sancocho y el plato principal dos horas en total platos de carne seca y arroz frio el precio indicado en el momento del pedido es diferente al precio al momento de hacer la cuenta aumentandolo un 10 mas de lo que inicialmente nuevamente la excusa era absurda,"['hermoso', 'lugar', 'puedes', 'disfrutar', 'dia', 'familia', 'desafortunadamente', 'servicio', 'restaurantes', 'deja', 'mucho', 'desear', 'hora', 'media', 'servir', 'sancocho', 'excusas', 'absurdas', 'contradictorias', 'media', 'hora', 'sancocho', 'plato', 'principal', 'horas', 'total', 'platos', 'carne', 'seca', 'arroz', 'frio', 'precio', 'indicado', 'momento', 'pedido', 'diferente', 'precio', 'momento', 'hacer', 'cuenta', 'aumentandolo', 'inicialmente', 'nuevamente', 'excusa', 'absurda']",0,neutral,hermoso puedes disfrutar dia familia desafortunadamente servicio restaurantes deja mucho desear hora media servir sancocho excusas absurdas contradictorias media hora sancocho plato principal horas total platos carne seca arroz frio precio indicado momento pedido diferente precio momento hacer cuenta aumentandolo inicialmente nuevamente excusa absurda
